epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.0291,1.04215,1.41537,1.18758,0.96848,0.96555,0.98038,0.75617,0.83108,0.72201,1.00079,0.000552695,0.000552695,0.000552695
2,102.574,0.90472,0.67504,1.08795,0.93331,0.94584,0.97284,0.73795,0.8415,0.62804,0.98332,0.00109739,0.00109739,0.00109739
3,120.816,0.90229,0.6319,1.08074,0.96818,0.96752,0.98227,0.75928,0.82332,0.52013,0.98195,0.00163108,0.00163108,0.00163108
4,138.674,0.87041,0.57492,1.06748,0.95985,0.97218,0.98274,0.76375,0.8228,0.49105,0.97858,0.00161749,0.00161749,0.00161749
5,156.383,0.85243,0.54974,1.06162,0.95404,0.96555,0.97744,0.74114,0.89893,0.50702,1.00638,0.00160099,0.00160099,0.00160099
6,173.987,0.83958,0.53458,1.05596,0.97978,0.9631,0.97935,0.76727,0.80175,0.47741,0.95756,0.00158448,0.00158448,0.00158448
7,192.082,0.82608,0.51766,1.0497,0.97478,0.96752,0.97828,0.78102,0.76516,0.42965,0.94025,0.00156798,0.00156798,0.00156798
8,210.359,0.81048,0.49764,1.03785,0.9551,0.9842,0.98823,0.78564,0.74944,0.41432,0.94348,0.00155148,0.00155148,0.00155148
9,228.788,0.79367,0.488,1.03238,0.96754,0.97195,0.98277,0.7626,0.82144,0.43207,0.95515,0.00153497,0.00153497,0.00153497
10,247.083,0.79291,0.48206,1.03043,0.97695,0.96776,0.98444,0.78544,0.78275,0.40397,0.93327,0.00151847,0.00151847,0.00151847
11,264.841,0.78946,0.47682,1.02702,0.96574,0.98301,0.98735,0.7981,0.73713,0.39471,0.93459,0.00150197,0.00150197,0.00150197
12,282.444,0.7839,0.47056,1.03033,0.96584,0.97828,0.98508,0.79851,0.72499,0.38164,0.93481,0.00148546,0.00148546,0.00148546
